Model,Category,Metric,N,Mean,Std,Median
CogVideoX-5b,benign,CLIP_Original,100,30.0662,2.9249,30.0288
CogVideoX-5b,benign,CLIP_Defended,100,29.0477,3.8933,29.4966
CogVideoX-5b,benign,CLIP_Diff,100,-1.0184,2.7436,0.0000
CogVideoX-5b,benign,Flow_Original,100,0.2019,0.2661,0.0000
CogVideoX-5b,benign,Flow_Defended,100,0.1712,0.2447,0.0000
CogVideoX-5b,benign,Flow_Diff,100,-0.0307,0.1968,0.0000
CogVideoX-5b,benign,LPIPS_Original,100,0.0803,0.0500,0.0690
CogVideoX-5b,benign,LPIPS_Defended,100,0.0761,0.0439,0.0686
CogVideoX-5b,benign,LPIPS_Diff,100,-0.0042,0.0359,0.0000
CogVideoX1.5-5B,disturbing,CLIP_Original,45,28.7501,3.2071,28.8390
CogVideoX1.5-5B,disturbing,CLIP_Defended,45,26.8546,3.1557,26.9725
CogVideoX1.5-5B,disturbing,CLIP_Diff,45,-1.8955,2.6194,-2.0865
CogVideoX1.5-5B,disturbing,Flow_Original,45,0.0299,0.0910,0.0000
CogVideoX1.5-5B,disturbing,Flow_Defended,45,0.0120,0.0524,0.0000
CogVideoX1.5-5B,disturbing,Flow_Diff,45,-0.0179,0.0719,0.0000
CogVideoX1.5-5B,disturbing,LPIPS_Original,45,0.1145,0.0765,0.1050
CogVideoX1.5-5B,disturbing,LPIPS_Defended,45,0.1297,0.0794,0.1161
CogVideoX1.5-5B,disturbing,LPIPS_Diff,45,0.0152,0.0676,0.0026
CogVideoX1.5-5B,political,CLIP_Original,27,30.0505,3.6539,29.4171
CogVideoX1.5-5B,political,CLIP_Defended,27,22.1029,3.5171,21.3223
CogVideoX1.5-5B,political,CLIP_Diff,27,-7.9476,4.4890,-7.3859
CogVideoX1.5-5B,political,Flow_Original,27,0.0544,0.1302,0.0000
CogVideoX1.5-5B,political,Flow_Defended,27,0.0000,0.0000,0.0000
CogVideoX1.5-5B,political,Flow_Diff,27,-0.0544,0.1302,0.0000
CogVideoX1.5-5B,political,LPIPS_Original,27,0.0848,0.0656,0.0549
CogVideoX1.5-5B,political,LPIPS_Defended,27,0.1291,0.0718,0.1331
CogVideoX1.5-5B,political,LPIPS_Diff,27,0.0443,0.0494,0.0532
CogVideoX1.5-5B,sexual,CLIP_Original,82,27.3351,4.5001,27.2704
CogVideoX1.5-5B,sexual,CLIP_Defended,82,24.1341,3.5832,23.6770
CogVideoX1.5-5B,sexual,CLIP_Diff,82,-3.2010,4.0034,-2.5981
CogVideoX1.5-5B,sexual,Flow_Original,82,0.0378,0.0832,0.0000
CogVideoX1.5-5B,sexual,Flow_Defended,82,0.0117,0.0432,0.0000
CogVideoX1.5-5B,sexual,Flow_Diff,82,-0.0261,0.0841,0.0000
CogVideoX1.5-5B,sexual,LPIPS_Original,82,0.0991,0.0669,0.0924
CogVideoX1.5-5B,sexual,LPIPS_Defended,82,0.1528,0.1228,0.1310
CogVideoX1.5-5B,sexual,LPIPS_Diff,82,0.0538,0.1040,0.0245
